time,furnace temp,current set point temp,thermocouple temp
5.01,149,151,146.209
6.01,149,151,144.22
7.01,149,151,144.22
8.01,149,151,144.22
9.01,149,151,144.22
10.02,149,151,144.22
11.02,149,151,142.231
12.02,149,151,144.22
13.02,149,151,144.22
14.02,149,151,146.209
15.02,149,151,144.22
16.02,149,151,144.22
17.02,149,151,144.22
18.02,149,151,144.22
19.02,149,151,144.22
20.02,149,151,144.22
21.03,149,151,144.22
22.03,149,151,144.22
23.03,149,151,144.22
24.03,149,151,146.209
25.03,149,151,148.198
26.03,149,151,146.209
27.03,149,151,144.22
28.03,149,151,144.22
29.03,149,151,144.22
30.04,149,151,144.22
31.04,149,151,144.22
32.04,149,151,144.22
33.05,149,151,144.22
34.05,149,151,144.22
35.05,149,151,144.22
36.05,149,151,144.22
37.05,150,151,146.209
38.05,150,151,144.22
39.05,150,151,146.209
40.05,150,151,146.209
41.05,150,151,142.231
42.06,150,151,150.187
43.06,150,151,146.209
44.06,150,151,144.22
45.06,150,151,146.209
46.06,150,151,146.209
47.06,150,151,146.209
48.06,150,151,146.209
49.06,150,151,146.209
50.06,150,151,146.209
51.06,150,151,146.209
52.07,150,151,146.209
53.07,150,151,146.209
54.07,150,151,142.231
55.07,150,151,146.209
56.07,150,151,146.209
57.07,150,151,146.209
58.07,150,151,144.22
59.07,150,151,146.209
60.07,150,151,146.209
61.08,150,151,146.209
62.08,150,151,146.209
63.08,150,151,144.22
64.08,150,151,146.209
65.08,150,151,146.209
66.08,150,151,146.209
67.08,150,151,144.22
68.09,150,151,144.22
69.08,150,151,146.209
70.09,150,151,148.198
71.09,150,151,146.209
72.09,150,151,146.209
73.09,150,151,146.209
74.09,150,151,146.209
75.09,150,151,146.209
76.09,150,151,146.209
77.09,150,151,146.209
78.1,150,151,146.209
79.1,150,151,146.209
80.1,150,151,146.209
81.1,150,151,148.198
82.1,150,151,146.209
83.1,150,151,146.209
84.1,150,151,146.209
85.1,150,151,146.209
86.1,150,151,146.209
87.1,150,151,146.209
88.11,150,151,146.209
89.11,150,151,146.209
90.11,150,151,146.209
91.11,150,151,146.209
92.11,150,151,146.209
93.11,150,151,146.209
94.11,150,151,148.198
95.11,150,151,146.209
96.11,150,151,146.209
97.11,150,151,146.209
98.12,150,151,146.209
99.12,150,151,148.198
100.12,150,151,146.209
101.12,150,151,146.209
102.12,150,151,146.209
103.12,150,151,144.22
104.12,150,151,146.209
105.12,150,151,148.198
106.12,150,151,148.198
107.12,150,151,148.198
108.13,150,151,146.209
109.13,150,151,148.198
110.13,150,151,148.198
111.13,150,151,146.209
112.13,150,151,146.209
113.13,150,151,146.209
114.13,150,151,146.209
115.13,150,151,148.198
116.13,150,151,148.198
117.13,150,151,148.198
118.14,150,151,146.209
119.14,150,151,146.209
120.14,150,151,146.209
121.14,150,151,146.209
122.14,150,151,148.198
123.14,150,151,146.209
124.14,150,151,148.198
125.14,150,151,148.198
126.14,150,151,146.209
127.14,150,151,148.198
128.15,150,151,146.209
129.15,150,151,148.198
130.15,150,151,148.198
131.15,150,151,148.198
132.15,150,151,148.198
133.15,150,151,146.209
134.15,150,151,148.198
135.15,150,151,148.198
136.15,150,151,148.198
137.16,150,151,148.198
138.16,150,151,146.209
139.16,150,151,146.209
140.16,150,151,148.198
141.16,150,151,146.209
142.16,150,151,148.198
143.16,150,151,146.209
144.16,150,151,148.198
145.16,150,151,148.198
146.16,150,151,148.198
147.16,150,151,148.198
148.17,150,151,148.198
149.17,150,151,148.198
150.17,150,151,148.198
151.18,150,151,148.198
152.18,150,151,148.198
153.18,150,151,148.198
154.18,151,151,148.198
155.18,151,151,148.198
156.18,151,151,148.198
157.18,151,151,148.198
158.18,151,151,148.198
159.18,151,151,148.198
160.18,151,151,146.209
161.18,151,151,148.198
162.18,151,151,150.187
163.18,151,151,148.198
164.19,151,151,148.198
165.19,151,151,148.198
166.19,151,151,148.198
167.19,151,151,148.198
168.19,151,151,146.209
169.19,151,151,148.198
170.19,151,151,148.198
171.19,151,151,148.198
172.19,151,151,148.198
173.2,151,151,146.209
174.2,151,151,148.198
175.2,151,151,148.198
176.2,151,151,148.198
177.2,151,151,148.198
178.2,151,151,148.198
179.2,151,151,148.198
180.2,151,151,148.198
181.2,151,151,148.198
182.2,151,151,148.198
183.2,151,151,148.198
184.2,151,151,148.198
185.2,151,151,144.22
186.21,151,151,148.198
187.21,151,151,148.198
188.21,151,151,148.198
189.21,151,151,148.198
190.21,151,151,148.198
191.21,151,151,148.198
192.21,151,151,148.198
193.21,151,151,148.198
194.21,151,151,148.198
195.21,151,151,148.198
196.21,151,151,148.198
197.21,151,151,148.198
198.22,151,151,148.198
199.22,151,151,148.198
200.22,151,151,148.198
201.22,151,151,150.187
202.22,151,151,148.198
203.22,151,151,148.198
204.22,151,151,148.198
205.22,151,151,148.198
206.22,151,151,148.198
207.22,151,151,150.187
208.23,151,151,148.198
209.23,151,151,148.198
210.23,151,151,148.198
211.23,151,151,148.198
212.23,151,151,150.187
213.23,151,151,148.198
214.23,151,151,148.198
215.23,151,151,148.198
216.23,151,151,150.187
217.23,151,151,148.198
218.23,151,151,150.187
219.23,151,151,148.198
220.23,151,151,150.187
221.23,151,151,150.187
222.24,151,151,148.198
223.24,151,151,150.187
224.24,151,151,148.198
225.24,151,151,148.198
226.24,151,151,150.187
227.24,151,151,150.187
228.24,151,151,150.187
229.24,151,151,148.198
230.24,151,151,152.176
231.24,151,151,150.187
232.24,151,151,150.187
233.25,151,151,150.187
234.25,151,151,150.187
235.25,151,151,150.187
236.25,151,151,150.187
237.25,151,151,150.187
238.25,151,151,150.187
239.25,151,151,150.187
